cow_id,animal_name,sire,parity,lactation_length_d,peak_day,peak_milk_kg,dry_period_d,milk_yield_kg
805584,JEWEL,MR MUDD -  XA,1,295.0,145.0,32.4,41.0,7636.3
805139,Disna,Jenny S.TrumpET,1,295.0,83.0,27.4,57.0,6198.7
805034,Hiromi,MR MUDD -  XA,1,295.0,74.0,34.2,49.0,7886.6
805015,Damita,L.Jet Bowser XA,1,295.0,84.0,36.7,50.0,8434.7
805625,NIAT,L.Jet Bowser-ET,1,295.0,104.0,33.0,47.0,7122.9
805946,Crv-125,L.Jet Bowser-ET,1,295.0,130.0,40.5,40.0,7546.1
805893,PAST-225,Jenny S.TrumpXA,1,295.0,142.0,48.8,50.0,8547.6
804613,KAKA,Jenny S.TrumpET,1,295.0,94.0,30.1,50.0,7127.0
806401,Willy,L. Muscadet XA,1,295.0,111.0,33.5,51.0,8402.2
805146,Gama,L.Jet Bowser-ET,1,295.0,70.0,37.2,49.0,8323.9
806073,Micah,AK 47,1,295.0,104.0,30.3,49.0,6350.0
806626,Alma,RJR.SpidermanET,1,295.0,148.0,31.2,55.0,8123.9
806367,Amy,L. Muscadet XA,1,295.0,66.0,31.7,42.0,7145.0
804086,TABIA,K. Big Time,1,295.0,56.0,33.6,54.0,8008.0
804123,Aline,Mac Douglas-ET,1,295.0,132.0,31.1,48.0,7675.0
803720,Mag-499,Holstein Bull,1,295.0,55.0,26.2,45.0,5035.0
805499,Amy,MR MUDD -  XA,1,295.0,46.0,36.3,49.0,7855.4
803971,Ston132,Brasilia,1,295.0,140.0,30.5,45.0,7017.0
804224,Dober,Longlife,1,295.0,82.0,34.7,50.0,7804.0
803742,Nonon,Bull Mix,1,295.0,75.0,26.4,44.0,6315.0
805452,ULIEL,MR MUDD -  XA,1,295.0,114.0,34.9,51.0,7580.8
804883,Frida,L.Jet Bowser XA,1,295.0,141.0,35.2,50.0,7973.4
804037,Rou-139,Brasilia,1,295.0,116.0,35.9,44.0,8070.0
803884,Char,M.Z.Merlin.-XA,1,295.0,68.0,40.4,50.0,10180.0
806104,Diana,Horst MONTNEY,1,295.0,84.0,37.3,52.0,7561.1
803671,Lande,Bull Mix,1,295.0,130.0,24.5,52.0,5724.0
805497,Justin,AK 47,1,295.0,83.0,35.2,49.0,7731.0
803553,Madison,L.S Titanic,1,295.0,44.0,34.8,47.0,8140.0
803541,Item,L.Jet Bowser XA,1,295.0,77.0,40.6,53.0,9966.0
804255,VIND-573,Holstein Bull,1,295.0,71.0,34.2,54.0,8084.0
806337,Pond149,AK 47,1,295.0,73.0,30.1,52.0,7972.5
804461,Berna,Longlife,1,296.0,70.0,32.3,53.0,7108.0
805859,SPACY,Horst MONTNEY,1,296.0,65.0,32.3,48.0,6962.6
804392,Novia,F.Shamrock,1,296.0,55.0,35.5,47.0,8011.0
804784,Almo 2,Jenny S.TrumpET,1,296.0,112.0,27.8,56.0,6520.0
804667,Citos,L.Jet Bowser XA,1,296.0,83.0,31.8,47.0,7298.0
803855,Gold-100,Holstein Bull,1,296.0,42.0,30.0,56.0,6282.0
804463,Nila,F.Shamrock,1,296.0,85.0,35.4,51.0,8447.5
805697,Kimber,MR MUDD -  XA,1,296.0,82.0,36.5,41.0,6471.9
804197,Dubi,C. Toyjet,1,296.0,94.0,44.1,45.0,10120.0
804020,HOBO-079,Brasilia,1,296.0,90.0,33.9,46.0,8450.0
805881,Aline,Horst MONTNEY,1,297.0,87.0,28.8,47.0,6117.1
804478,NAOMI,F.Shamrock,1,297.0,81.0,33.0,46.0,7787.0
803861,Haley,L.S Titanic,1,297.0,80.0,26.8,50.0,5380.2
803866,Tatu,M.Z.Merlin ET,1,297.0,73.0,36.5,54.0,8686.0
804440,Epson,K-M.EpicSave-ET,1,297.0,138.0,35.0,47.0,8758.0
803746,Irfi,K.S Layne ET,1,297.0,100.0,34.3,43.0,7860.0
804006,Bonita,W.EpicIcebergET,1,297.0,97.0,27.4,54.0,6815.0
804194,Moth592,Holstein Bull,1,297.0,103.0,37.4,45.0,8577.0
804093,Vici,Longlife,1,297.0,62.0,32.5,47.0,8058.0
804088,Ciciel,O.S.Elmer-XA,1,297.0,121.0,37.3,42.0,9014.0
805207,NIKON,Jenny S.TrumpET,1,298.0,132.0,26.9,42.0,6175.9
804477,Yuki,L.Jet Bowser XA,1,298.0,75.0,29.4,58.0,6821.0
804526,Gunda,C. Toyjet,1,298.0,84.0,35.0,52.0,8035.5
803522,Chandi,L.Jet Bowser XA,1,298.0,53.0,28.9,43.0,6789.0
804790,SAKUY,L.Jet Bowser-ET,1,298.0,76.0,28.9,40.0,6486.4
804233,Novem,C. Toyjet,1,298.0,137.0,29.6,48.0,6842.0
803774,Ora-469,Holstein Bull,1,298.0,66.0,27.4,47.0,5761.0
803580,Ophie,K.S Layne ET,1,298.0,64.0,28.1,42.0,6300.0
804055,ROSA,K. Big Time,1,298.0,62.0,28.2,46.0,6256.0
804975,Pipin,AK 47,1,298.0,70.0,27.7,40.0,6006.9
803644,Yuana,K.S Layne ET,1,298.0,92.0,26.5,48.0,6340.0
803602,Eet,Bull Mix,1,298.0,70.0,32.2,45.0,7344.0
804248,Yiran,L.Jet Bowser-ET,1,298.0,98.0,33.2,52.0,7559.0
803392,Touch,U.M Aberlin -ET,1,298.0,67.0,41.0,38.0,8932.0
805211,Yuri,MR MUDD -  XA,1,299.0,49.0,34.9,42.0,8572.0
803857,Nexco,O.S.Elmer-XA,1,299.0,80.0,39.1,48.0,9466.0
804794,Arga,Coyne PlanetET,1,299.0,85.0,28.4,58.0,6114.2
804375,Kady,L.Jet Bowser XA,1,299.0,84.0,31.9,51.0,8052.0
804408,Harki,K-M.EpicSave-ET,1,299.0,45.0,38.2,45.0,8456.0
804595,Gery,L.Jet Bowser XA,1,299.0,98.0,35.3,53.0,8880.5
803750,Foc-488,Holstein Bull,1,299.0,121.0,26.4,52.0,6057.0
803814,Nira,O.S.Elmer-XA,1,300.0,99.0,33.7,46.0,8066.0
806213,Alaya,L.Jet Bowser-ET,1,300.0,61.0,31.2,57.0,5429.1
804542,Susun,Coyne PlanetET,1,300.0,46.0,33.8,45.0,7921.0
803530,Aniya,Bull Mix,1,300.0,65.0,33.1,55.0,7060.0
805634,Irfi,Jenny S.TrumpXA,1,300.0,63.0,34.5,44.0,6892.2
803789,Hand,L.S Titanic,1,300.0,40.0,29.8,31.0,6857.5
803480,Purri,L.S Titanic,1,300.0,84.0,34.0,51.0,7273.0
803711,Bell-551,Holstein Bull,1,301.0,102.0,36.2,47.0,7767.0
804739,Mila,Jenny S.TrumpET,1,301.0,133.0,27.8,49.0,7006.4
804244,Reyko,Krunch - ET,1,301.0,90.0,35.7,45.0,8442.0
803478,Justin,Klr. SuperMario,1,301.0,49.0,30.8,47.0,7121.0
803489,Lydia,K. Big Time,1,301.0,115.0,34.6,50.0,8212.0
803496,Ersa,Klr. SuperMario,1,301.0,116.0,34.5,41.0,7910.0
803967,POND-029,Brasilia,1,301.0,79.0,36.9,43.0,8408.0
803498,Resti,L.S Titanic,1,302.0,113.0,33.0,51.0,7147.0
